"Offset","Length","Mnemonic","DataType","Name","Comment"
"0x30c","0x4","basic_string","basic_string","m_personalBests",""
"0x310","0x4","int","int","m_timestamp",""
"0x314","0x4","int","int","m_uknInt",""
"0x318","0x4","basic_string","basic_string","m_songIDs",""
"0x31c","0x4","basic_string","basic_string","m_sfxIDs",""
"0x320","0x4","int","int","m_54",""
"0x324","0x4","int","int","m_bestTime",""
"0x328","0x4","int","int","m_bestPoints",""
"0x32c","0x4","int","int","m_k111",""
"0x330","0x4","basic_string","basic_string","m_unknString3",""
"0x334","0x4","basic_string","basic_string","m_unknString4",""
